county,pop2010all,pop2014all,pop2017all,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count,pop2010_50_and_over,pop2014_50_and_over,pop2017_50_and_over,percent_pop2010_50_and_over,percent_pop2014_50_and_over,percent_pop2017_50_and_over,normalized_hospice_rate
Roane,54157,52827,53036,45,46.5,47.2,47145,No,185.2,172,199.3,152,falling,-0.7,-1.1,-0.3,0,22978,23857,24469,42.42849493,45.16061862,46.13658647,0
Robertson,66355,67869,70177,37.7,38.4,38.9,47147,No,187.2,173,202.3,135,falling,-0.8,-1.3,-0.2,2,20917,23256,24950,31.52286941,34.26601247,35.55295895,2.849936589
Rutherford,263747,288608,317157,32.3,33.3,33.7,47149,No,170.3,162.5,178.4,380,falling,-1.4,-1.7,-1.1,1,63681,76046,85835,24.14472961,26.34923495,27.06388319,0.315301255
Scott,22227,21986,21989,38.2,38.9,39.6,47151,No,241,214.5,270,63,stable,-0.5,-1.1,0.1,0,7330,7728,7993,32.97790975,35.14964068,36.34999318,0
Sequatchie,14127,14634,14736,40.8,42.8,44,47153,No,224.3,194.3,257.9,43,rising,1.3,0.3,2.3,0,5214,5855,6158,36.90804842,40.00956676,41.7888165,0
Sevier,89948,94570,97638,41,42.4,43.3,47155,No,186.7,175.6,198.3,224,falling,-0.5,-0.9,-0.1,0,33223,37203,39998,36.93578512,39.33911388,40.96560765,0
Shelby,928552,938434,936961,34.6,35.1,35.6,47157,No,195,190.8,199.2,1767,falling,-1.1,-1.2,-1,5,268799,290161,299623,28.9481903,30.9197024,31.97817198,0.533640141
Smith,19125,19026,19636,39.9,41,41,47159,No,192.2,166.8,220.6,43,stable,-6.7,-13.8,1,0,6626,7137,7601,34.64575163,37.51182592,38.70951314,0
Stewart,13349,13218,13355,42.9,43.9,44.7,47161,No,218.2,188.3,252,40,stable,0.1,-1.2,1.4,0,5169,5440,5754,38.72200165,41.15599939,43.0849869,0
Sullivan,156755,156513,157158,43.7,44.5,45.2,47163,No,181.4,173.6,189.5,425,falling,-0.7,-1.1,-0.4,1,63618,66238,67943,40.58435138,42.32108515,43.23228852,0.63630232
Sumner,161199,172183,183545,38.7,39.3,39.5,47165,Yes,161.2,153,169.6,305,falling,-2.2,-3.6,-0.8,1,52391,59773,65448,32.50082197,34.71480924,35.65774061,0.54482552
Tipton,61066,61566,61366,36.6,37.5,38.1,47167,No,210.6,194.5,227.6,134,stable,-0.2,-0.8,0.3,0,18292,20394,21200,29.95447549,33.12542637,34.54681746,0
Trousdale,7874,7993,10083,39.7,40.7,35.6,47169,No,265.5,219,319.1,24,stable,0,-1.3,1.3,0,2752,2978,3194,34.9504699,37.2576004,31.67708023,0
Unicoi,18284,17905,17759,45.1,46.2,46.7,47171,No,199.8,176.9,225.3,58,stable,0.1,-0.6,0.7,0,7836,8024,8079,42.85714286,44.81429768,45.49242638,0
Union,19118,18990,19442,40.3,41.7,42.7,47173,No,234.2,206.1,265.3,53,stable,-0.5,-1.2,0.2,0,6769,7373,7883,35.40642327,38.82569774,40.5462401,0
Van Buren,5569,5653,5742,44.6,46.3,47.2,47175,Yes,160.3,122.7,207.4,14,stable,-0.9,-2.4,0.6,0,2358,2562,2653,42.34153349,45.32106846,46.20341344,0
Warren,39860,39934,40651,39.4,40.3,40.3,47177,No,200.3,183,219,100,stable,-0.1,-0.8,0.5,0,13998,14758,15214,35.11791269,36.95597736,37.42589358,0
Washington,123386,125736,127806,39.3,39.9,40.4,47179,No,180.5,171.1,190.3,284,falling,-1.2,-1.6,-0.8,2,43569,46200,48327,35.31113741,36.74365337,37.81277874,1.564871759
Wayne,16987,16788,16583,41,42.3,43.1,47181,No,207.4,181.4,236.4,47,stable,0.1,-0.6,0.9,1,6151,6501,6654,36.21004297,38.72408863,40.12542966,6.030271965
Weakley,35042,33987,33337,36.9,37.5,38.3,47183,No,187,168.9,206.6,81,stable,-0.3,-0.8,0.3,0,11924,12243,12410,34.02773814,36.02259688,37.22590515,0
White,25821,26229,26753,42.1,42.6,42.8,47185,No,216.3,195.1,239.4,79,stable,-0.6,-1.3,0,0,10009,10514,10962,38.76302235,40.08540165,40.97484394,0
Williamson,184130,205213,226257,38.6,38.9,39,47187,Yes,127.2,119.8,134.9,239,falling,-3.8,-4.8,-2.9,2,55733,66407,74686,30.26828871,32.36003567,33.00936546,0.883950552
Wilson,114677,125146,136442,39.3,40.1,39.9,47189,No,170.5,160.4,181,229,falling,-2,-2.8,-1.2,0,37642,44365,48803,32.82436757,35.45059371,35.76831181,0
